#Node,X,Y

0,387,362

1,375,324

2,387,324

3,375,337

4,387,337

5,375,249

6,387,249

7,375,274

8,387,274

9,375,287

10,387,287

11,375,224

12,387,224

13,375,237

14,387,237

15,375,99

16,387,99

17,375,149

18,387,149

19,375,174

20,387,174

21,375,162

22,387,162

23,375,124

24,387,124

25,375,137

26,387,137

27,375,49

28,387,49

29,375,74

30,387,74

31,375,62

32,387,62

33,375,24

34,387,24

35,375,37

36,387,37

37,350,399

38,374,399

39,350,599

40,374,599

41,350,699

42,374,699

43,350,749

44,374,749

45,362,750

46,362,799

47,363,774

48,374,774

49,350,774

50,362,774

51,350,724

52,374,724

53,350,712

54,374,712

55,362,700

56,362,712

57,362,600

58,362,699

59,363,649

60,374,649

61,363,674

62,374,674

63,363,662

64,374,662

65,363,624

66,374,624

67,363,637

68,374,637

69,363,612

70,374,612

71,350,649

72,362,649

73,350,674

74,362,674

75,350,624

76,362,624

77,350,612

78,362,612

79,350,499

80,374,499

81,362,500

82,362,599

83,363,549

84,374,549

85,363,574

86,374,574

87,363,587

88,374,587

89,363,562

90,374,562

91,363,524

92,374,524

93,363,537

94,374,537

95,350,549

96,362,549

97,350,574

98,362,574

99,350,524

100,362,524

101,350,537

102,362,537

103,350,512

104,362,512

105,362,400

106,362,499

107,363,449

108,374,449

109,363,474

110,374,474

111,363,424

112,374,424

113,363,437

114,374,437

115,363,412

116,374,412

117,350,449

118,362,449

119,350,474

120,362,474

121,350,487

122,362,487

123,350,424

124,362,424

125,350,437

126,362,437

127,362,0

128,362,399

129,363,199

130,374,199

131,363,299

132,374,299

133,363,349

134,374,349

135,363,374

136,374,374

137,363,387

138,374,387

139,363,324

140,374,324

141,363,249

142,374,249

143,363,274

144,374,274

145,363,262

146,374,262

147,363,224

148,374,224

149,363,212

150,374,212

151,363,99

152,374,99

153,363,149

154,374,149

155,363,174

156,374,174

157,363,162

158,374,162

159,363,124

160,374,124

161,363,112

162,374,112

163,363,49

164,374,49

165,363,74

166,374,74

167,363,87

168,374,87

169,363,24

170,374,24

171,350,199

172,362,199

173,350,299

174,362,299

175,350,349

176,362,349

177,350,374

178,362,374

179,350,324

180,362,324

181,350,337

